Timestamp,League,Target,Accuracy,Precision,Recall,F1,ROC-AUC
2025-12-11T20:51:03.425910,F1,Over2.5,0.8116071428571429,0.8132584444009892,0.8116071428571429,0.8108311267343413,0.8997061435569433
2025-12-11T20:50:31.388343,D1,Over2.5,0.8233009708737864,0.8264645691693954,0.8233009708737864,0.8203571478832508,0.9019444444444444
2025-12-11T20:51:06.484287,D1,OverUnder10.5Corners,0.7407766990291262,0.7394465675743375,0.7407766990291262,0.7364180103830102,0.8086575807908616
2025-12-18T21:19:38.975409,SP1,OverUnder10.5Corners,0.7573770491803279,0.7536000634229864,0.7573770491803279,0.7505654022446097,0.8289391086001257
2025-12-18T21:19:14.246280,SP1,Over2.5,0.8491803278688526,0.8516368651702217,0.8491803278688526,0.8487815193882696,0.9259996213133744
2025-12-18T21:19:41.734824,E0,OverUnder10.5Corners,0.7041041831097081,0.7050134221488292,0.7041041831097081,0.703632689595057,0.7767107385053397
2025-12-18T21:19:18.892754,E0,Over2.5,0.8195920101997449,0.8199681397244085,0.8195920101997449,0.8181374779839276,0.9023774276979001
2025-12-18T21:19:32.987319,I1,OverUnder10.5Corners,0.7348430574949912,0.7322890415285614,0.7348430574949912,0.7251331604233809,0.7955390772128059
2025-12-18T21:19:09.229576,I1,Over2.5,0.8085726428267865,0.8125770266397536,0.8085726428267865,0.8079818509606268,0.9010050070149696
2025-12-18T21:19:44.198538,F1,OverUnder10.5Corners,0.7582869757174392,0.7551381940417469,0.7582869757174392,0.7453374559924144,0.8070552463409607
2025-12-18T21:19:27.870512,F1,Over2.5,0.7941898454746137,0.7953593208059637,0.7941898454746137,0.7933002246390419,0.8921571326329779
2025-12-18T21:19:04.951241,D1,Over2.5,0.8376572546826949,0.8409433361640213,0.8376572546826949,0.8348021824839889,0.9160826746353061
2025-12-18T21:19:30.296426,D1,OverUnder10.5Corners,0.7503214984623987,0.7547475067158516,0.7503214984623987,0.7457478141814884,0.8268709154667657
2026-01-01T13:20:12.776069,SP1,OverUnder10.5Corners,0.7697297297297298,0.7677199642415532,0.7697297297297298,0.7634697231259203,0.8328679336417316
2026-01-01T13:19:57.356310,SP1,Over2.5,0.8475675675675676,0.8496875190208572,0.8475675675675676,0.8471978957788957,0.9260011440830087
2026-01-01T13:20:14.906483,E0,OverUnder10.5Corners,0.6983957219251338,0.7011485245902402,0.6983957219251338,0.6971445065952444,0.7774621111992246
2026-01-01T13:20:04.035142,E0,Over2.5,0.8128342245989305,0.8133816032744843,0.8128342245989305,0.8114994228471705,0.9061078710289235
2026-01-01T13:20:10.873804,I1,OverUnder10.5Corners,0.7383783783783784,0.7364507313780967,0.7383783783783784,0.726826712647243,0.7967948717948719
2026-01-01T13:19:54.884132,I1,Over2.5,0.8259459459459458,0.8285621750026678,0.8259459459459458,0.8255147713169861,0.9019132451586408
2026-01-01T13:20:16.550163,F1,OverUnder10.5Corners,0.7542958057395144,0.7498669871195798,0.7542958057395144,0.7412196149642002,0.8085581085581085
2026-01-01T13:20:07.507649,F1,Over2.5,0.7835496688741722,0.7842373349077031,0.7835496688741722,0.782734297836043,0.8807384786442757
2026-01-01T13:19:50.671528,D1,Over2.5,0.8477144930165064,0.8492456586192445,0.8477144930165064,0.8457508097419849,0.920529285193532
2026-01-01T13:20:09.078822,D1,OverUnder10.5Corners,0.7439143841828406,0.7470343807338675,0.7439143841828406,0.7394151749474297,0.8273111999830721
2026-01-20T19:40:56.848388,SP1,OverUnder10.5Corners,0.763987747145642,0.7605122527536249,0.763987747145642,0.756420192215997,0.8311280126053473
2026-01-13T21:49:57.812145,SP1,Over2.5,0.8420466058763931,0.8429907738094642,0.8420466058763931,0.8418637350949713,0.9208751276813075
2026-01-20T19:41:03.232193,E0,OverUnder10.5Corners,0.7120933710806047,0.7151129259713425,0.7120933710806047,0.710253797781197,0.7802660649043627
