League,Target,Accuracy,Accuracy Std,Precision Under,Precision Over,Recall Under,Recall Over
D1,OverUnder10.5Corners,0.9782945736434108,0.010284107877070988,0.9680775371587351,0.9957446808510639,0.9974683544303797,0.948032243348783
I1,OverUnder10.5Corners,0.8159509202453987,0.015998042712153732,0.8165806810671515,0.8124291459874984,0.9166817272539147,0.6327527179454158
E1,OverUnder10.5Corners,0.9294605809128631,0.012309043132108984,0.922571351593529,0.9412953342663879,0.9489922146225303,0.9016810245477999
SP1,OverUnder10.5Corners,0.853416149068323,0.019483710734606346,0.8449126578501598,0.8841560661832254,0.935974609702799,0.7004025588931249
E0,OverUnder10.5Corners,0.9012195121951219,0.01865494943997362,0.8717694150254764,0.9430823505251423,0.9533032574510217,0.8432060778727445
F1,OverUnder10.5Corners,0.9676923076923076,0.013234346564680958,0.9528216232959034,1.0,1.0,0.9059519427940481
N1,OverUnder10.5Corners,0.9496183206106871,0.013309615094780671,0.941873944119558,0.9628918918918918,0.9682779970590512,0.9243016860032123
