Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Referee,Season,AST,HST,AvgLast5AwayGoalsScored,AvgLast5HomeCorners,HF,AS,AF,AvgAwayGoalsConceded,AvgAwayGoalsScored,AvgHomeCorners,Last5HomeOver2.5Perc,AvgLast5HomeCornersConceded,B365AHA,MaxC_gt_2.5,AvgLast5HomeGoalsScored,B365C_gt_2.5,B365CAHA,AwayOver2.5Perc,HY,MaxC_lt_2.5,MaxAHA,PredictedTotalCorners,HomeOver2.5Perc,AvgLast5AwayGoalsConceded,PredictedAwayCorners,HS,AvgLast5AwayCorners,PredictedTotalCorners_Last5,AvgLast5AwayCornersConceded,PredictedHomeCorners,Last5AwayOver2.5Perc,AvgLast5HomeGoalsConceded,Over2.5,OverUnder10.5Corners
2023-08-21,E0,20:00,Crystal Palace,Arsenal,A,D,D Coote,2023/2024,3,2,1.0,1.0,14,14,10,0.68,2.26,5.42,0.0,8.0,2.06,2.14,0.0,2.0,1.93,52.63,2,1.93,2.16,10.29,63.16,0.0,6.29,14,8.0,9.0,1.0,4.0,0.0,1.0,0,0
2023-09-17,E0,16:30,Everton,Arsenal,A,D,S Hooper,2023/2024,4,1,1.0,6.0,12,13,10,0.68,2.26,5.11,0.0,5.0,1.85,1.92,0.0,1.73,1.99,52.63,1,2.35,1.89,10.84,36.84,0.0,6.51,8,9.5,15.5,1.0,4.33,0.0,1.0,0,1
2023-09-30,E0,15:00,Bournemouth,Arsenal,A,A,M Salisbury,2023/2024,8,1,2.0,5.75,11,15,10,0.68,2.26,7.05,25.0,4.75,1.93,1.7,0.25,1.62,1.9,52.63,0,2.42,1.93,11.83,63.16,0.0,6.3,8,8.33,14.08,2.67,5.53,33.33,1.75,1,1
2023-10-21,E0,17:30,Chelsea,Arsenal,D,H,C Kavanagh,2023/2024,3,5,2.0,5.0,7,13,14,0.68,2.26,6.11,40.0,5.2,1.97,2.19,1.2,2.05,1.99,52.63,3,1.88,2.01,11.12,63.16,0.5,6.19,11,8.0,13.0,2.5,4.93,50.0,1.0,1,0
2023-11-04,E0,17:30,Newcastle,Arsenal,H,D,S Attwell,2023/2024,1,2,1.6,4.8,14,14,9,0.68,2.26,5.89,40.0,6.8,1.87,2.24,1.8,2.1,1.9,52.63,5,1.81,1.88,11.1,68.42,0.6,6.37,9,8.6,13.4,2.0,4.73,40.0,0.4,0,1
2023-11-25,E0,17:30,Brentford,Arsenal,A,D,T Robinson,2023/2024,4,3,1.6,3.2,9,15,7,0.68,2.26,4.84,80.0,4.4,2.02,1.99,1.8,1.96,1.78,52.63,1,2.0,2.04,10.33,68.42,0.6,6.33,9,8.6,11.8,2.0,4.0,40.0,1.6,0,0
2023-12-05,E0,20:15,Luton,Arsenal,A,A,S Barrott,2023/2024,9,4,2.2,4.6,14,23,7,0.68,2.26,6.63,60.0,6.4,1.92,1.68,1.4,1.62,1.8,52.63,2,2.48,1.92,11.55,68.42,1.2,6.39,6,8.0,12.6,2.4,5.16,60.0,1.8,1,1
2023-12-09,E0,17:30,Aston Villa,Arsenal,H,H,J Gillett,2023/2024,5,3,1.4,5.0,16,12,11,0.68,2.26,6.0,60.0,3.2,1.85,1.86,2.4,1.73,2.03,52.63,4,2.21,1.87,10.45,78.95,1.4,5.65,10,7.4,12.4,1.8,4.8,40.0,0.6,0,0
2023-12-23,E0,17:30,Liverpool,Arsenal,D,D,C Kavanagh,2023/2024,2,3,1.2,6.6,13,13,14,0.68,2.26,8.58,60.0,4.0,1.8,1.71,2.2,1.6,2.07,52.63,2,2.5,1.83,11.96,68.42,1.2,5.55,13,7.0,13.6,2.2,6.41,20.0,0.8,0,0
2023-12-31,E0,14:00,Fulham,Arsenal,H,D,J Smith,2023/2024,3,4,1.4,5.6,11,13,10,0.68,2.26,5.89,80.0,3.8,1.99,1.88,3.0,1.85,2.04,52.63,4,2.13,2.02,10.77,63.16,1.4,5.84,15,5.6,11.2,3.2,4.93,40.0,1.0,1,0
2024-01-30,E0,19:30,Nott'm Forest,Arsenal,A,D,S Hooper,2023/2024,3,3,1.6,4.4,6,19,7,0.68,2.26,4.32,60.0,5.8,1.88,1.83,1.0,1.75,2.03,52.63,0,2.3,1.9,10.32,52.63,1.6,6.35,9,6.2,10.6,3.4,3.97,60.0,1.8,1,1
2024-02-11,E0,14:00,West Ham,Arsenal,A,A,C Pawson,2023/2024,12,1,2.0,3.0,17,25,11,0.68,2.26,4.68,40.0,4.2,1.95,1.92,1.2,1.88,1.98,52.63,4,2.09,1.95,10.01,52.63,1.0,6.0,5,5.8,8.8,3.2,4.01,60.0,1.4,1,0
2024-02-17,E0,15:00,Burnley,Arsenal,A,A,J Gillett,2023/2024,7,0,3.0,4.0,11,16,8,0.68,2.26,5.58,40.0,7.4,1.91,1.62,0.6,1.53,1.78,52.63,2,2.56,1.93,10.94,57.89,0.8,6.32,8,6.4,10.4,3.4,4.62,80.0,2.4,1,0
2024-03-04,E0,20:00,Sheffield United,Arsenal,A,A,S Barrott,2023/2024,10,0,4.0,4.2,11,22,4,0.68,2.26,4.11,100.0,5.2,1.85,1.56,0.8,1.53,2.0,52.63,1,2.75,1.85,10.19,84.21,0.6,6.43,4,6.8,11.0,2.6,3.76,100.0,4.2,1,0
2024-03-31,E0,16:30,Man City,Arsenal,D,D,A Taylor,2023/2024,2,1,3.8,10.6,9,6,20,0.68,2.26,8.16,20.0,1.6,1.98,1.94,1.4,1.8,1.86,52.63,0,2.16,2.0,11.81,57.89,0.2,5.15,12,6.8,17.4,3.0,6.66,80.0,0.4,0,1
2024-04-06,E0,17:30,Brighton,Arsenal,A,A,J Brooks,2023/2024,7,2,4.0,7.2,14,20,13,0.68,2.26,7.05,40.0,3.4,2.06,1.73,1.2,1.62,1.84,52.63,1,2.38,2.1,11.36,57.89,0.0,5.53,10,6.0,13.2,4.2,5.83,80.0,1.0,1,1
2024-04-20,E0,19:30,Wolves,Arsenal,A,A,P Tierney,2023/2024,9,3,3.2,4.0,14,24,9,0.68,2.26,5.21,40.0,4.0,1.87,1.62,0.8,1.57,1.98,52.63,3,2.52,1.91,10.34,63.16,0.0,5.86,5,5.2,9.2,4.0,4.48,60.0,1.4,0,0
2024-04-28,E0,14:00,Tottenham,Arsenal,A,A,M Oliver,2023/2024,3,2,2.8,8.8,12,9,16,0.68,2.26,7.21,100.0,3.8,2.01,1.55,2.2,1.53,2.01,52.63,2,2.69,2.05,11.94,84.21,0.4,5.8,14,5.2,14.0,4.8,6.14,60.0,1.6,1,1
2024-05-12,E0,16:30,Man United,Arsenal,A,A,P Tierney,2023/2024,5,2,1.8,6.0,5,11,6,0.68,2.26,7.84,40.0,7.0,1.99,1.4,1.8,1.4,1.92,52.63,0,3.4,2.03,12.8,68.42,0.4,6.51,14,5.2,11.2,5.6,6.29,40.0,1.2,0,1
2024-08-24,E0,17:30,Aston Villa,Arsenal,A,D,M Oliver,2024/2025,4,3,2.0,4.0,8,9,15,0.89,1.79,7.47,0.0,1.0,2.0,1.76,0.0,1.73,1.97,36.84,1,2.27,2.02,9.99,57.89,0.0,4.23,11,1.0,5.0,4.0,5.76,0.0,2.0,0,0
2024-09-15,E0,14:00,Tottenham,Arsenal,A,D,J Gillett,2024/2025,4,5,1.5,9.5,13,7,10,0.89,1.79,7.16,50.0,5.5,2.02,1.68,2.0,1.62,1.92,36.84,5,2.45,2.05,11.77,73.68,0.0,5.48,15,3.5,13.0,5.5,6.29,0.0,0.5,0,1
2024-09-22,E0,16:30,Man City,Arsenal,D,A,M Oliver,2024/2025,3,11,1.67,10.0,7,5,10,0.89,1.79,7.0,100.0,2.0,1.83,2.07,2.67,2.05,1.87,36.84,3,1.9,1.83,10.72,73.68,0.67,4.38,33,3.0,13.0,6.33,6.34,33.33,1.33,1,0
2024-10-19,E0,17:30,Bournemouth,Arsenal,H,D,R Jones,2024/2025,1,4,1.25,7.0,12,6,11,0.89,1.79,6.32,25.0,5.0,1.86,1.99,1.5,1.99,2.01,36.84,1,2.08,1.88,10.94,31.58,1.0,5.26,13,3.25,10.25,6.5,5.68,25.0,0.75,0,1
2024-11-02,E0,12:30,Newcastle,Arsenal,H,H,J Brooks,2024/2025,1,4,1.0,5.6,16,10,18,0.89,1.79,6.21,20.0,8.0,1.98,1.96,1.0,1.95,1.98,36.84,4,2.05,2.0,11.14,63.16,1.0,5.71,9,3.8,9.4,6.0,5.43,20.0,0.6,0,0
2024-11-10,E0,16:30,Chelsea,Arsenal,D,D,M Oliver,2024/2025,3,3,0.8,6.8,12,13,12,0.89,1.79,6.47,40.0,3.4,1.88,1.84,1.8,1.8,2.08,36.84,4,2.12,1.9,10.5,57.89,1.2,4.81,17,4.2,11.0,6.0,5.69,20.0,1.2,0,0
2024-11-30,E0,17:30,West Ham,Arsenal,A,A,A Taylor,2024/2025,7,5,1.6,5.2,10,16,13,0.89,1.79,4.63,80.0,6.2,2.03,1.73,1.6,1.67,1.98,36.84,4,2.38,2.06,9.95,57.89,1.6,5.53,12,5.0,10.2,5.0,4.42,40.0,2.0,1,1
2024-12-08,E0,14:00,Fulham,Arsenal,D,H,C Kavanagh,2024/2025,4,2,1.4,5.8,10,12,9,0.89,1.79,5.32,80.0,5.6,2.05,1.79,1.6,1.73,2.05,36.84,4,2.23,2.1,10.13,63.16,1.4,5.43,2,5.8,11.6,3.4,4.7,20.0,2.0,0,0
2024-12-21,E0,17:30,Crystal Palace,Arsenal,A,A,S Hooper,2024/2025,6,6,2.4,5.2,9,14,8,0.89,1.79,4.58,40.0,7.2,1.95,1.9,1.0,1.85,1.75,36.84,2,2.1,2.0,10.14,47.37,1.2,5.99,15,5.6,10.8,2.6,4.15,40.0,2.0,1,0
2025-01-01,E0,17:30,Brentford,Arsenal,A,D,P Bankes,2024/2025,5,2,3.0,5.4,6,14,8,0.89,1.79,5.16,80.0,4.0,2.01,1.68,2.4,1.67,2.15,36.84,1,2.47,2.01,9.94,63.16,1.2,5.45,5,5.0,10.4,2.6,4.49,60.0,2.0,1,0
2025-01-04,E0,17:30,Brighton,Arsenal,D,A,A Taylor,2024/2025,3,4,3.0,4.4,17,9,14,0.89,1.79,4.79,40.0,4.6,2.06,2.05,1.0,2.05,2.05,36.84,2,2.13,2.08,9.43,68.42,1.2,5.28,11,5.4,9.8,2.2,4.15,60.0,1.2,0,0
2025-01-25,E0,15:00,Wolves,Arsenal,A,D,M Oliver,2024/2025,3,4,2.2,4.0,20,9,10,0.89,1.79,3.89,60.0,3.8,2.05,1.98,1.0,1.97,2.09,36.84,0,2.09,2.06,9.0,57.89,0.8,5.41,9,4.4,8.4,2.0,3.59,40.0,2.0,0,0
2025-02-15,E0,12:30,Leicester,Arsenal,A,D,S Barrott,2024/2025,5,2,2.4,4.4,9,11,10,0.89,1.79,4.21,20.0,3.4,2.03,1.76,0.0,1.73,2.02,36.84,2,2.25,2.06,9.27,47.37,0.6,5.4,6,4.6,9.0,2.6,3.87,40.0,2.2,0,0
2025-02-26,E0,19:30,Nott'm Forest,Arsenal,D,D,A Madley,2024/2025,1,2,1.4,2.2,10,13,17,0.89,1.79,4.26,40.0,8.2,2.0,2.32,2.4,2.2,1.98,36.84,1,1.78,2.01,9.8,31.58,0.4,6.12,6,6.2,8.4,2.6,3.68,20.0,0.6,0,1
2025-03-09,E0,16:30,Man United,Arsenal,D,H,A Taylor,2024/2025,6,6,1.0,5.4,8,17,11,0.89,1.79,5.58,60.0,4.2,1.95,2.19,1.6,2.0,2.03,36.84,0,1.9,1.95,9.96,52.63,0.4,5.28,10,7.4,12.8,2.2,4.68,0.0,1.8,0,1
2025-04-05,E0,12:30,Everton,Arsenal,D,A,D England,2024/2025,5,2,1.0,4.6,17,14,13,0.89,1.79,4.26,60.0,6.2,2.07,2.6,2.0,2.38,2.05,36.84,3,1.63,2.09,9.86,47.37,0.4,5.96,5,8.0,12.6,2.4,3.9,0.0,1.2,0,1
2025-04-20,E0,14:00,Ipswich,Arsenal,A,A,C Kavanagh,2024/2025,7,0,1.6,3.0,10,24,7,0.89,1.79,4.11,100.0,5.8,1.92,1.68,1.0,1.67,2.07,36.84,0,2.35,1.93,9.82,52.63,0.4,6.18,4,9.4,12.4,2.2,3.64,20.0,3.2,1,1
2025-05-11,E0,16:30,Liverpool,Arsenal,D,H,A Taylor,2024/2025,7,5,1.6,7.6,13,15,10,0.89,1.79,6.53,80.0,3.0,1.83,1.7,2.6,1.62,1.95,36.84,1,2.32,1.83,10.77,63.16,0.8,5.34,14,8.2,15.8,2.2,5.43,40.0,1.0,1,0
2025-05-25,E0,16:00,Southampton,Arsenal,A,A,D Bond,2024/2025,8,2,2.0,2.0,7,23,8,0.89,1.79,3.16,60.0,10.4,1.83,1.41,0.6,1.4,1.83,36.84,0,3.05,1.86,9.85,68.42,1.0,6.8,7,7.6,9.6,2.6,3.05,60.0,1.6,1,1
2025-08-17,E0,16:30,Man United,Arsenal,A,A,S Hooper,2025/2026,3,7,1.0,3.0,10,9,19,0.82,1.27,4.45,0.0,4.0,2.0,1.73,0.0,1.73,1.98,36.36,1,2.2,2.0,9.19,36.36,0.0,5.21,22,4.0,7.0,3.0,3.98,0.0,1.0,0,0
2025-08-31,E0,16:30,Liverpool,Arsenal,H,D,C Kavanagh,2025/2026,1,3,0.5,4.5,7,11,10,0.82,1.27,5.82,50.0,7.5,1.95,1.81,2.5,1.73,1.8,36.36,2,2.1,1.95,10.53,45.45,0.5,5.65,9,6.0,10.5,3.0,4.88,0.0,1.0,0,1
2025-09-28,E0,16:30,Newcastle,Arsenal,A,H,J Gillett,2025/2026,7,3,1.0,8.0,8,20,9,0.82,1.27,7.42,66.67,5.67,1.83,2.18,1.33,2.1,1.88,36.36,2,1.75,1.83,12.24,66.67,0.67,5.99,8,8.0,16.0,4.33,6.25,33.33,1.67,1,1
2025-10-18,E0,17:30,Fulham,Arsenal,A,D,A Taylor,2025/2026,5,0,1.0,5.0,11,16,4,0.82,1.27,5.17,25.0,7.25,1.98,2.0,1.25,1.95,1.88,36.36,0,1.91,1.98,11.03,58.33,0.5,6.28,9,8.5,13.5,4.75,4.75,25.0,0.75,0,1
2025-11-01,E0,15:00,Burnley,Arsenal,A,A,C Kavanagh,2025/2026,8,0,1.2,2.2,10,12,13,0.82,1.27,3.08,0.0,6.4,1.85,1.91,1.0,1.9,2.05,36.36,2,2.02,1.85,9.34,33.33,0.4,6.09,3,8.0,10.2,4.0,3.25,20.0,0.8,0,0
2025-11-08,E0,17:30,Sunderland,Arsenal,D,H,C Pawson,2025/2026,7,2,1.4,3.6,13,17,13,0.82,1.27,3.73,40.0,2.8,1.93,2.2,1.6,2.2,1.9,36.36,2,1.73,1.95,9.1,45.45,0.8,5.38,6,7.6,11.2,3.8,3.72,40.0,1.0,1,0
2025-11-30,E0,16:30,Chelsea,Arsenal,D,D,A Taylor,2025/2026,4,4,1.6,6.8,12,8,13,0.82,1.27,6.91,80.0,2.8,1.9,2.14,1.6,2.05,2.15,36.36,1,1.8,22.0,11.03,54.55,0.8,5.24,11,6.6,13.4,3.8,5.79,40.0,1.4,0,0
2025-12-06,E0,12:30,Aston Villa,Arsenal,H,H,P Bankes,2025/2026,9,6,1.4,5.4,10,15,8,0.82,1.27,5.18,60.0,5.0,1.9,2.1,2.0,2.1,1.9,36.36,0,1.8,1.9,10.06,63.64,1.0,5.44,15,4.8,10.2,3.0,4.62,40.0,0.4,1,0
2025-12-20,E0,20:00,Everton,Arsenal,A,A,S Barrott,2025/2026,2,1,1.4,6.4,4,13,5,0.82,1.27,4.92,60.0,5.2,2.03,2.06,1.2,1.95,1.93,36.36,2,1.9,2.03,9.78,41.67,1.0,5.28,5,3.4,9.8,2.2,4.5,40.0,1.6,0,0
2026-01-03,E0,17:30,Bournemouth,Arsenal,A,D,C Kavanagh,2025/2026,5,3,1.6,5.4,13,12,8,0.82,1.27,5.0,40.0,3.2,2.05,1.66,1.0,1.62,1.93,36.36,3,2.4,2.07,9.49,50.0,1.4,4.93,15,3.2,8.6,3.4,4.56,60.0,1.4,1,1
2026-01-17,E0,17:30,Nott'm Forest,Arsenal,D,D,M Oliver,2025/2026,3,0,1.2,6.0,8,15,14,0.82,1.27,6.36,40.0,4.2,1.93,2.05,0.8,2.0,2.08,36.36,1,1.83,1.95,10.63,63.64,1.0,5.22,6,4.6,10.6,3.8,5.41,40.0,1.2,0,1
2023-08-12,E0,17:30,Newcastle,Aston Villa,H,H,A Madley,2023/2024,6,13,1.0,6.0,12,16,17,1.74,1.47,5.89,100.0,5.0,1.89,1.73,5.0,1.67,2.09,63.16,4,2.34,1.94,11.24,68.42,5.0,5.6,17,5.0,11.0,6.0,5.64,100.0,1.0,1,1
2023-08-27,E0,14:00,Burnley,Aston Villa,A,A,M Salisbury,2023/2024,6,2,2.0,5.0,12,16,11,1.74,1.47,5.58,100.0,5.5,1.88,1.84,0.5,1.8,2.0,63.16,2,2.13,1.91,11.08,57.89,3.0,5.81,9,5.5,10.5,5.0,5.27,100.0,3.0,1,0
2023-09-03,E0,14:00,Liverpool,Aston Villa,H,H,S Hooper,2023/2024,3,4,1.33,8.5,12,9,7,1.74,1.47,8.58,100.0,2.5,1.75,1.43,3.0,1.4,1.88,63.16,0,3.12,1.86,12.27,68.42,3.0,4.94,17,4.67,13.17,5.67,7.33,100.0,0.5,1,0
2023-09-24,E0,14:00,Chelsea,Aston Villa,A,D,J Gillett,2023/2024,7,4,1.25,5.75,9,15,11,1.74,1.47,6.11,25.0,4.75,1.99,1.76,1.0,1.73,2.03,63.16,2,2.25,2.02,11.42,63.16,2.25,5.74,10,6.25,12.0,5.5,5.68,75.0,0.75,0,1
2023-10-08,E0,14:00,Wolves,Aston Villa,D,D,R Jones,2023/2024,4,3,1.2,2.75,19,18,9,1.74,1.47,5.21,75.0,5.75,1.86,1.88,1.25,1.84,2.08,63.16,2,2.1,1.9,10.8,63.16,2.0,5.98,8,7.0,9.75,4.8,4.82,60.0,2.25,0,1
2023-11-05,E0,14:00,Nott'm Forest,Aston Villa,H,H,J Gillett,2023/2024,3,3,1.0,3.2,6,13,9,1.74,1.47,4.32,40.0,6.8,1.89,1.85,1.6,1.7,1.97,63.16,1,2.25,1.91,10.65,52.63,1.4,6.4,5,8.0,11.2,3.6,4.25,40.0,1.0,0,0
2023-11-26,E0,14:00,Tottenham,Aston Villa,A,D,R Jones,2023/2024,5,8,0.8,8.0,11,15,13,1.74,1.47,7.21,80.0,4.2,1.84,1.61,1.6,1.53,1.91,63.16,0,2.69,1.86,12.25,84.21,1.4,5.83,18,7.4,15.4,4.6,6.42,40.0,1.6,1,1
2023-12-03,E0,14:00,Bournemouth,Aston Villa,D,D,T Bramall,2023/2024,3,7,1.2,6.4,16,11,12,1.74,1.47,7.05,80.0,7.0,1.98,1.58,1.4,1.48,1.95,63.16,5,2.68,2.03,12.46,63.16,1.2,6.28,15,8.2,14.6,4.6,6.18,40.0,1.8,1,1
2023-12-17,E0,14:00,Brentford,Aston Villa,A,H,D Coote,2023/2024,5,3,1.4,4.8,19,15,6,1.74,1.47,4.84,80.0,6.6,1.93,1.99,2.0,1.98,2.05,63.16,6,2.06,1.94,11.14,68.42,1.4,6.3,4,8.4,13.2,5.0,4.84,60.0,1.2,1,1
2023-12-26,E0,20:00,Man United,Aston Villa,H,A,C Pawson,2023/2024,4,7,1.6,8.6,10,10,10,1.74,1.47,7.84,80.0,5.8,1.95,1.62,1.2,1.57,1.89,63.16,1,2.66,2.0,13.29,68.42,1.8,6.4,13,7.6,16.2,5.2,6.89,80.0,1.8,1,0
2024-01-14,E0,14:00,Everton,Aston Villa,D,D,D Coote,2023/2024,5,2,1.6,5.4,13,16,14,1.74,1.47,5.11,60.0,4.8,2.08,1.77,1.2,1.7,2.05,63.16,1,2.28,2.16,11.12,36.84,1.4,5.97,10,6.6,12.0,6.0,5.15,80.0,1.2,0,0
2024-02-03,E0,17:30,Sheffield United,Aston Villa,A,A,P Tierney,2023/2024,10,5,2.2,4.2,10,14,7,1.74,1.47,4.11,60.0,5.0,2.1,1.7,1.0,1.65,2.11,63.16,1,2.35,2.1,10.54,84.21,1.2,6.18,10,6.8,11.0,4.8,4.36,80.0,2.4,1,0
2024-02-17,E0,15:00,Fulham,Aston Villa,A,A,L Smith,2023/2024,3,4,2.2,6.6,11,12,6,1.74,1.47,5.89,60.0,6.8,2.02,1.73,1.2,1.6,1.99,63.16,5,2.4,2.05,11.49,63.16,1.0,5.97,15,6.2,12.8,4.2,5.52,80.0,1.2,1,0
2024-03-02,E0,17:30,Luton,Aston Villa,A,A,M Oliver,2023/2024,8,5,2.4,8.6,8,12,19,1.74,1.47,6.63,100.0,3.8,1.92,1.47,2.0,1.44,1.88,63.16,1,2.85,1.94,11.74,68.42,1.2,5.6,13,5.0,13.6,4.4,6.14,80.0,2.2,1,1
2024-03-17,E0,14:00,West Ham,Aston Villa,D,H,J Gillett,2023/2024,5,5,2.2,3.0,13,13,12,1.74,1.47,4.68,60.0,6.6,1.89,1.63,1.6,1.57,2.1,63.16,3,2.5,1.91,10.62,52.63,0.8,6.03,13,6.0,9.0,5.2,4.59,60.0,2.4,0,1
2024-04-03,E0,20:15,Man City,Aston Villa,H,H,D England,2023/2024,3,11,2.4,9.2,6,8,13,1.74,1.47,8.16,40.0,2.2,2.04,1.48,1.8,1.44,2.03,63.16,1,3.05,2.11,11.95,57.89,1.6,4.86,25,5.6,14.8,4.8,7.09,80.0,0.6,1,0
2024-04-14,E0,16:30,Arsenal,Aston Villa,A,D,D Coote,2023/2024,2,4,1.8,5.6,12,11,7,1.74,1.47,6.79,60.0,3.0,1.86,1.49,2.2,1.4,1.98,63.16,3,3.1,1.91,11.0,73.68,1.6,5.01,18,6.0,11.6,5.0,5.99,60.0,1.0,0,0
2024-05-05,E0,14:00,Brighton,Aston Villa,H,D,R Jones,2023/2024,1,8,1.4,7.2,13,2,10,1.74,1.47,7.05,40.0,4.0,1.85,1.47,0.6,1.44,2.08,63.16,2,2.95,1.87,11.7,57.89,1.6,5.34,15,5.8,13.0,5.6,6.36,40.0,1.6,0,0
2024-05-19,E0,16:00,Crystal Palace,Aston Villa,H,H,D Bond,2023/2024,2,9,0.8,4.2,10,8,8,1.74,1.47,5.42,80.0,3.6,2.03,1.5,3.6,1.44,2.08,63.16,1,2.9,2.06,10.4,63.16,2.2,5.36,15,5.4,9.6,4.4,5.04,40.0,1.2,1,0
2024-08-17,E0,17:30,West Ham,Aston Villa,A,D,T Harrington,2024/2025,3,3,2.0,5.0,18,15,11,1.63,1.26,4.63,100.0,3.0,1.73,1.73,1.0,1.73,2.1,68.42,1,2.32,1.82,9.4,57.89,1.0,4.43,14,3.0,8.0,5.0,4.97,100.0,2.0,1,0
2024-08-31,E0,15:00,Leicester,Aston Villa,A,A,D Coote,2024/2025,5,3,2.0,1.5,13,10,21,1.63,1.26,4.21,50.0,8.5,1.95,1.82,1.0,1.73,1.94,68.42,4,2.14,1.99,9.42,47.37,1.0,5.23,9,3.5,5.0,3.0,4.19,100.0,1.5,1,0
2024-09-29,E0,14:00,Ipswich,Aston Villa,D,A,S Attwell,2024/2025,3,5,2.0,6.67,10,7,14,1.63,1.26,4.11,33.33,5.33,1.89,1.85,1.0,1.8,2.05,68.42,4,2.11,1.91,9.73,52.63,1.33,4.85,15,2.33,9.0,5.33,4.88,100.0,1.67,1,0
2024-10-19,E0,15:00,Fulham,Aston Villa,A,D,D England,2024/2025,5,4,2.25,5.5,8,14,11,1.63,1.26,5.32,75.0,4.5,1.7,1.9,1.75,1.8,1.73,68.42,3,2.13,1.8,10.06,63.16,1.25,4.61,10,4.5,10.0,5.5,5.45,100.0,1.5,1,1
2024-11-03,E0,14:00,Tottenham,Aston Villa,H,A,C Pawson,2024/2025,1,6,2.0,9.4,14,12,14,1.63,1.26,7.16,80.0,4.8,1.95,1.48,3.0,1.44,1.93,68.42,2,2.9,1.98,11.78,73.68,1.8,4.92,16,4.4,13.8,5.6,6.86,100.0,0.8,1,0
2024-11-09,E0,20:00,Liverpool,Aston Villa,H,H,D Coote,2024/2025,2,5,1.6,4.6,11,12,15,1.63,1.26,6.53,60.0,6.6,2.03,1.61,1.8,1.57,1.88,68.42,0,2.5,2.06,10.84,63.16,2.0,4.87,14,5.6,10.2,5.0,5.97,80.0,0.6,0,1
2024-12-01,E0,13:30,Chelsea,Aston Villa,H,H,S Attwell,2024/2025,4,8,1.2,6.6,21,10,6,1.63,1.26,6.47,60.0,3.2,2.01,1.58,2.2,1.57,1.96,68.42,2,2.6,2.02,10.53,57.89,2.4,4.35,17,5.6,12.2,5.4,6.18,80.0,1.0,1,0
2024-12-14,E0,17:30,Nott'm Forest,Aston Villa,H,D,S Barrott,2024/2025,2,6,1.0,6.6,12,8,6,1.63,1.26,4.26,60.0,5.4,1.99,2.15,1.6,2.0,1.99,68.42,0,1.85,2.0,10.11,31.58,2.4,5.27,17,6.2,12.8,4.2,4.84,80.0,0.8,1,0
2024-12-26,E0,15:00,Newcastle,Aston Villa,H,H,A Taylor,2024/2025,1,8,0.4,6.2,15,4,10,1.63,1.26,6.21,60.0,4.6,1.95,1.72,2.2,1.62,1.98,68.42,2,2.48,1.96,10.87,63.16,2.8,4.93,22,5.2,11.4,4.8,5.94,80.0,1.0,1,1
2025-01-15,E0,19:30,Everton,Aston Villa,A,D,S Barrott,2024/2025,3,3,0.4,5.6,17,11,10,1.63,1.26,4.26,20.0,4.4,2.03,2.35,0.8,2.3,1.96,68.42,2,1.69,2.05,9.78,47.37,2.0,4.94,10,5.4,11.0,5.2,4.84,60.0,0.6,0,1
2025-01-18,E0,17:30,Arsenal,Aston Villa,D,H,C Kavanagh,2024/2025,4,6,0.8,9.2,10,8,18,1.63,1.26,7.42,40.0,1.6,2.03,2.03,1.4,1.73,1.92,68.42,2,2.2,2.03,10.94,52.63,2.0,3.84,18,3.8,13.0,6.8,7.1,80.0,0.6,1,1
2025-02-01,E0,17:30,Wolves,Aston Villa,H,H,A Madley,2024/2025,3,5,0.8,4.4,20,10,13,1.63,1.26,3.89,40.0,4.6,1.86,1.9,1.0,1.88,1.98,68.42,2,2.11,1.88,9.65,57.89,1.8,4.93,8,4.6,9.0,7.2,4.72,60.0,1.2,0,1
2025-02-25,E0,19:30,Crystal Palace,Aston Villa,H,H,S Barrott,2024/2025,2,6,0.8,5.4,19,6,10,1.63,1.26,4.58,80.0,6.0,2.09,1.84,1.8,1.73,1.94,68.42,3,2.21,2.09,10.47,47.37,2.2,5.29,19,5.6,11.0,7.0,5.18,60.0,1.4,1,1
2025-03-08,E0,17:30,Brentford,Aston Villa,A,D,J Gillett,2024/2025,4,3,1.0,4.8,10,12,5,1.63,1.26,5.16,20.0,6.6,1.91,1.52,0.6,1.44,1.73,68.42,2,2.92,1.93,10.55,63.16,1.6,5.17,13,5.4,10.2,6.4,5.38,40.0,1.6,0,1
2025-04-02,E0,19:45,Brighton,Aston Villa,A,D,S Attwell,2024/2025,5,4,1.4,3.8,16,8,11,1.63,1.26,4.79,80.0,5.2,2.05,1.89,1.4,1.88,1.86,68.42,1,2.1,2.07,9.65,68.42,1.6,4.66,11,4.4,8.2,5.6,4.99,60.0,1.2,1,0
2025-04-12,E0,15:00,Southampton,Aston Villa,A,D,T Bramall,2024/2025,10,2,1.6,3.6,11,25,4,1.63,1.26,3.16,80.0,5.8,1.93,1.67,0.6,1.57,1.84,68.42,3,2.5,1.93,9.62,68.42,1.2,5.7,7,7.0,10.6,4.0,3.92,60.0,2.6,1,1
2025-04-22,E0,20:00,Man City,Aston Villa,H,D,C Pawson,2024/2025,3,6,1.8,5.4,9,7,10,1.63,1.26,7.0,60.0,3.2,2.05,1.64,2.2,1.62,2.01,68.42,3,2.5,2.05,10.51,73.68,1.2,4.2,14,5.8,11.2,5.0,6.31,80.0,1.4,1,1
